Index,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
1,Radiohead,Creep,2008-04-07,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,238640,4
2,Johnny Cash,Hurt,2002-01-01,0.536,0.4,9,-7.717,0,0.0263,0.666,0.000906,0.0841,0.146,90.32,218533,4
3,R.E.M.,Everybody Hurts,1992-10-05,0.254,0.383,2,-8.036,1,0.0282,0.614,0.0237,0.172,0.178,188.2,318240,3
4,Eric Clapton,Tears in Heaven,1999-10-12,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,271760,4
5,3 Doors Down,Here Without You,2002-11-12,0.557,0.533,10,-6.817,0,0.0252,0.0492,0,0.205,0.233,143.994,238733,4
6,Sting,Shape Of My Heart,1993-03-09,0.537,0.373,6,-10.081,0,0.0331,0.691,0.000915,0.083,0.244,83.936,279227,4
7,Evanescence,My Immortal,2003-03-04,0.19,0.265,9,-9.206,1,0.0356,0.863,0,0.134,0.101,79.012,262533,4
8,Chris Isaak,Wicked Game,2006,0.667,0.548,9,-7.802,1,0.0262,0.744,0.0122,0.0946,0.29,112.549,286880,4
9,No Doubt,Don't Speak,1995-10-10,0.522,0.707,5,-7.113,0,0.0354,0.24,2.04e-05,0.156,0.572,76.05,263000,4
10,Heart,Alone,1987-06-06,0.418,0.452,1,-13.099,1,0.0356,0.638,0.00026,0.0959,0.168,175.088,218733,4
11,Coldplay,The Scientist,2002-08-08,0.56,0.442,5,-7.224,1,0.0243,0.727,1.71e-05,0.11,0.212,146.448,309600,4
12,Bill Withers,Ain't No Sunshine,2000,0.535,0.469,4,-9.793,0,0.072,0.475,5.11e-05,0.104,0.429,79.264,123333,4
13,The Cranberries,When You're Gone,2002-09-16,0.452,0.522,3,-6.85,1,0.0271,0.505,2.16e-06,0.245,0.379,187.537,232280,3
14,Nate Ruess,It Only Gets Much Worse,2015-06-12,0.59,0.306,7,-4.953,1,0.0299,0.764,0,0.148,0.316,142.418,257973,4
15,Sinéad O'Connor,Nothing Compares 2 U,1997-11-10,0.511,0.574,5,-7.016,1,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,280040,4
16,Hozier,Take Me To Church,2014-05-20,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,241688,4
17,Gilbert O'Sullivan,Alone Again (Naturally),1972-01-01,0.558,0.464,8,-8.488,0,0.0354,0.583,0.000133,0.159,0.559,171.762,217729,4
18,The Fray,How to Save a Life,2005-09-13,0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,262533,4
19,James Blunt,You're Beautiful,2005-08-08,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,209493,4
20,Tom Odell,Sirens,2013-06-24,0.458,0.573,10,-8.38,1,0.0303,0.495,3.58e-05,0.0974,0.206,147.229,220373,4
21,Coldplay,We Never Change,2000-07-10,0.434,0.286,6,-10.803,0,0.0296,0.533,0.000164,0.105,0.122,136.924,249400,3
22,Rag'n'Bone Man,Disfigured,2015-03-08,0.457,0.474,2,-5.38,0,0.0315,0.612,0,0.113,0.39,71.987,189613,4
23,Band of Horses,No One's Gonna Love You,2007-10-09,0.313,0.894,1,-3.579,1,0.0294,0.121,0,0.0925,0.362,149.043,217333,4
24,Mumford & Sons,Awake My Soul,2009,0.262,0.466,2,-9.785,1,0.0341,0.0621,0.0273,0.0913,0.254,85.522,255827,1
25,Of Gentlemen & Cowards,Cold Love,2017-01-27,0.502,0.447,5,-6.331,1,0.0257,0.459,0,0.199,0.392,78.245,208065,4
26,The Lumineers,Stubborn Love,2012,0.596,0.544,0,-11.759,1,0.0362,0.604,0.017,0.262,0.262,115.022,279000,4
27,Savage Garden,Truly Madly Deeply,1997-03-04,0.555,0.698,0,-8.874,1,0.0287,0.403,0,0.0851,0.816,168.12,277267,4
